firstname,lastname,age,job,email,safetytraining
David,Smith,55,Carpenter,david.smith@gmail.com,y
Mark,Jones,72,Carpenter,mark.jones@gmail.com,y
Bobbie,Ines,27,Carpenter,Bobbie.Ines@gmail.com,y
Isa,Floyce,18,Electrician,Isa.Floyce@gmail.com,y
Bert,Corda,62,Driver,Bert.Corda@email.com,n
Benjamine,Leannah,36,Carpenter,Benjamine.Leannah@outlook.com,y
Barnett,Hellen,44,Driver,Barnett.Hellen@hotmail.com,n
Malcolm,Doris,52,Crane driver,Malcolm.Doris@outlook.com,y
Arra,Serena,19,Driver,Arra.Serena@gmail.com,y
Claire,Elsie,41,Driver,Claire.Elsie@email.com,y
Bennett,Cordie,42,Driver,Bennett.Cordie@outlook.com,n
Loy,Lena,36,Electrician,Loy.Lena@yahoo.com,y
Fleming,Isabella,29,Electrician,Fleming.Isabella@mail.net,n
Murphy,Jacob,64,Electrician,Murphy.Jacob@hotmail.com,y
Lonnie,Hjalmar,25,Construction manager,Lonnie.Hjalmar@mail.net,n
Aggie,Nat,34,Construction manager,Aggie.Nat@yahoo.com,n
Zella,Oran,22,Driver,Zella.Oran@yahoo.com,y
Trannie,Sylvia,30,Civil engineer,Trannie.Sylvia@yahoo.com,y
Jessie,Sammie,43,Civil engineer,Jessie.Sammie@outlook.com,n
Abigail,Ingeborg,35,Construction manager,Abigail.Ingeborg@email.com,y
Alfredo,Alda,61,Carpenter,Alfredo.Alda@gmail.com,y
Bertha,Jesus,55,Carpenter,Bertha.Jesus@gmail.com,y
Charity,Minta,53,Driver,Charity.Minta@gmail.com,n
Ebb,Mame,20,Civil engineer,Ebb.Mame@email.com,y
Salena,Emory,64,Carpenter,Salena.Emory@yahoo.com,n
Alan,Emeline,46,Driver,Alan.Emeline@mail.net,y
Clotilde,Austin,19,Carpenter,Clotilde.Austin@gmail.com,y
Jimmie,Erick,40,Chef,Jimmie.Erick@mail.net,n
Gaston,Norval,31,Crane driver,Gaston.Norval@hotmail.com,n
Claire,Neoma,35,Electrician,Claire.Neoma@email.com,n
Esta,Sigurd,64,Crane driver,Esta.Sigurd@mail.net,n
Irena,Thurman,25,Electrician,Irena.Thurman@gmail.com,y
Edith,Fernando,54,Chef,Edith.Fernando@outlook.com,y
Balbina,Corinne,25,Carpenter,Balbina.Corinne@hotmail.com,y
Minnette,Aimee,35,Crane driver,Minnette.Aimee@yahoo.com,n
Vester,Lulu,30,Crane driver,Vester.Lulu@yahoo.com,y
Liddie,Aubrey,56,Civil engineer,Liddie.Aubrey@outlook.com,n
Lennie,Felton,43,Electrician,Lennie.Felton@yahoo.com,n
Benson,Lennie,47,Construction manager,Benson.Lennie@hotmail.com,y
Agnes,Lenore,23,Carpenter,Agnes.Lenore@email.com,n
Anita,Elijah,49,Driver,Anita.Elijah@mail.net,y
